NS_position_y,warning.started,final.started,exp_trials_loop.ran,__participant,training_intro.stopped,NS_button_example.numClicks,intro_continue.keys,S_button_example.timesOff,study_id,NS_button_practice.timesOn,pre_quiz_key.rt,consent.started,exp_trials_loop.thisN,S_button_practice.timesOff,NS_button.timesOn,unique_item_no,key_resp_end_prac.rt,button_pos_warning.stopped,session,pre_prac_key.duration,__session,pre_quiz.stopped,prac_feedback_loop.thisN,warning.stopped,answer,NS_button_example.timesOff,prac_feedback_loop.thisIndex,frameRate,ready_to_go.stopped,AC_button.numClicks,age_textbox.text,training_intro_key.rt,pre_quiz_key.keys,intro.stopped,S_button_practice.numClicks,S_button_example.numClicks,AC_button.timesOn,ready_spacebar.rt,training_intro_key.duration,pre_prac_key.keys,ready_spacebar.keys,__datetime,feedback,instruction,pre_practice.started,NS_button.timesOff,practice_trial_feedback.started,trials.started,gender_slider.response,demographics.started,intro.started,trials.stopped,prac_feedback_loop.ran,NS_position_x,S_button.numClicks,consent.stopped,S_position_y,AC_button.timesOff,instruction_colour,S_position_x,psychopyVersion,OS,expName,pre_quiz.started,ready_to_go.started,exp_trials_loop.thisTrialN,stim_size_y,ready_spacebar_2.rt,training_intro.started,NS_button_practice.numClicks,image,image_path,stim_size_x,pre_practice.stopped,NS_button_practice.timesOff,training_intro_key.keys,prac_feedback_loop.thisTrialN,practice_trial_feedback.stopped,S_button_example.timesOn,S_button_practice.timesOn,intro_continue.duration,S_button.timesOff,date,exp_trials_loop.thisIndex,prac_feedback_loop.thisRepN,S_button.timesOn,exp_trials_loop.thisRepN,type,demographics.stopped,button_pos_warning.started,pre_prac_key.rt,NS_button_example.timesOn,__experimentName,key_resp_end_prac.duration,ready_spacebar_2.keys,intro_continue.rt,NS_button.numClicks,key_resp_end_prac.keys,number,final.stopped,total_correct_AC,passed,participant
﻿,NA,NA,NA,395902,NA,0,NA,[],68766fd199ac5101833eeb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,NA,[],NA,60.97560975609215,334.3583999999762,NA,NA,NA,NA,NA,NA,0,NA,1.6694000000059646,NA,NA,space,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,326.6586999999881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,NA,NA,[],ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,NA,NA,NA,NA,NA,339.1086999999881,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,NA,NA,NA,60.97560975609215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,0.7154999999999632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,334.35859999999406,NA,NA,ECG_X_EXP1_m1_JT,NA,space,NA,NA,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,0,NA,[],1,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[],NA,339.1351999999881,NA,NA,NA,344.37559999999405,NA,0.65,1,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,0,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0014_iii_1_MI_st.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[2.7502999999821327],2025-07-15_18h25.57.094,0,NA,[2.7502999999821327],0,MI_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,0,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,1,NA,[2.816799999982095],56,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[2.816799999982095],NA,344.38019999998806,NA,NA,NA,349.6916,NA,-0.65,0,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,1,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0478_v6_1_NORM_NOST.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,55,NA,[],0,NORM_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,2,NA,[3.9999000000059937],103,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[3.9999000000059937],NA,349.69559999999404,NA,NA,NA,356.1916999999881,NA,0.65,0,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,2,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0460_i_5_normal_nst.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,102,NA,[],0,NORM_no_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,3,NA,[4.649000000000001],114,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[4.649000000000001],NA,356.1965,NA,NA,NA,363.34169999998807,NA,-0.65,0,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,3,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0478_iii_5_normal_nst.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,113,NA,[],0,NORM_no_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,4,NA,[3.366700000017886],51,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[3.366700000017886],NA,363.3465,NA,NA,NA,369.2086999999881,NA,0.65,0,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,4,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0467_v5_6_NORM_NOST.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,50,NA,[],0,NORM_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,5,NA,[],82,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[],NA,369.213099999994,NA,NA,NA,374.57629999998215,NA,-0.65,1,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,5,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0092_iii_1_mi_st.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[2.8678000000118686],2025-07-15_18h25.57.094,81,NA,[2.8677000000178623],0,MI_no_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,0,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,6,NA,[1.833500000000015],37,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[1.833500000000015],NA,374.5803999999762,NA,NA,NA,378.909,NA,0.65,0,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,6,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0302_ii_3_NORM_NOST.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,36,NA,[],0,NORM_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,7,NA,[],77,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[],NA,378.91329999998214,NA,NA,NA,384.47579999998214,NA,0.65,1,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,7,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0061_v4_6_mi_st.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[3.066900000005944],2025-07-15_18h25.57.094,76,NA,[3.0668000000119378],0,MI_no_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,0,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,8,NA,[2.516599999994014],32,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[2.516599999994014],NA,384.48089999997615,NA,NA,NA,389.49229999998215,NA,-0.65,0,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,8,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0273_avr_5_NORM_NOST.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,31,NA,[],0,NORM_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,9,NA,[1.6668999999761809],41,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[1.6668999999761809],NA,389.49759999999407,NA,NA,NA,393.65909999999405,NA,0.65,0,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,9,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0363_v6_2_NORM_NOST.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,40,NA,[],0,NORM_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,10,NA,[],21,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[],NA,393.6651,NA,NA,NA,398.8261,NA,0.65,1,NA,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,10,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0092_v1_6_MI_st.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[2.6667999999821177],2025-07-15_18h25.57.094,20,NA,[2.6667999999821177],0,MI_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,0,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,11,NA,[],2,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[],NA,398.8305,NA,NA,NA,404.30979999998215,NA,-0.65,1,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,11,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0016_avf_1_MI_st.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[2.9840000000000373],2025-07-15_18h25.57.094,1,NA,[2.9840000000000373],0,MI_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,0,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,12,NA,[1.8828999999761322],40,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,N_ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[1.8829999999999814],NA,404.3138999999762,NA,NA,NA,408.69259999999406,NA,-0.65,0,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,12,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0363_v4_2_NORM_NOST.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[],2025-07-15_18h25.57.094,39,NA,[],0,NORM_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,1,NA,NA,NA,8,TRUE,23
﻿-0.425,NA,NA,1,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,13,NA,[],26,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,ST,NA,NA,60.97560975609215,NA,0,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,Please look at the following ECG and decide if ST-elevation is present.,NA,[],NA,408.6978999999762,NA,NA,NA,415.6763999999762,NA,-0.65,1,NA,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,13,0.801425662,NA,NA,NA,NA,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0109_avr_3_MI_st.png,0.5,NA,NA,NA,NA,NA,NA,NA,NA,[4.483000000000004],2025-07-15_18h25.57.094,25,NA,[4.483000000000004],0,MI_vis,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,0,NA,NA,NA,8,TRUE,23
